chunk_id,event,decoded_count,timestamp
24,RECOVERED,1,1779878783.3459973
24,SENT,1,1779878783.5745187
22,RECOVERED,2,1779878788.8427005
22,SENT,2,1779878789.0785396
10,RECOVERED,3,1779878887.1945992
10,SENT,3,1779878887.4225304
7,RECOVERED,4,1779878900.6678374
7,SENT,4,1779878900.902535
4,RECOVERED,1,1779880592.7330382
4,SENT,1,1779880593.0142388
9,RECOVERED,2,1779880615.169308
9,SENT,2,1779880615.5260165
36,RECOVERED,3,1779880648.64226
36,SENT,3,1779880649.0139613
29,RECOVERED,4,1779880669.1959307
29,SENT,4,1779880669.53422
7,RECOVERED,5,1779880683.3625302
7,SENT,5,1779880683.6742275
13,RECOVERED,6,1779880698.7662916
13,SENT,6,1779880699.0702214
10,RECOVERED,7,1779880725.1267416
10,SENT,7,1779880725.48224
30,RECOVERED,8,1779880733.2170105
30,SENT,8,1779880733.5502496
23,RECOVERED,9,1779880733.5507894
23,SENT,9,1779880733.8622308
31,RECOVERED,10,1779880733.8625686
31,SENT,10,1779880734.1982334
17,RECOVERED,11,1779880734.1984286
17,SENT,11,1779880734.518238
34,RECOVERED,12,1779880734.5191011
34,SENT,12,1779880734.7982395
1,RECOVERED,13,1779880734.7986872
1,SENT,13,1779880735.1462393
2,RECOVERED,14,1779880735.1473007
2,SENT,14,1779880735.4662101
8,RECOVERED,15,1779880735.4673188
8,SENT,15,1779880735.7462282
35,RECOVERED,16,1779880741.3502266
35,SENT,16,1779880741.666239
6,RECOVERED,17,1779880741.6669347
6,SENT,17,1779880741.9582222
20,RECOVERED,18,1779880748.5006037
20,SENT,18,1779880748.7902374
22,RECOVERED,19,1779880753.2500741
22,SENT,19,1779880753.5502338
24,RECOVERED,20,1779880753.554543
24,SENT,20,1779880753.90224
11,RECOVERED,21,1779880753.9024673
11,SENT,21,1779880754.1782584
28,RECOVERED,22,1779880754.1787698
28,SENT,22,1779880754.458238
5,RECOVERED,23,1779880754.458764
5,SENT,23,1779880754.7862482
37,RECOVERED,24,1779880754.7864747
37,SENT,24,1779880755.1222515
3,RECOVERED,25,1779880755.1226575
3,SENT,25,1779880755.4182186
26,RECOVERED,26,1779880755.418468
26,SENT,26,1779880755.7742329
32,RECOVERED,27,1779880755.774587
32,SENT,27,1779880756.1022341
16,RECOVERED,28,1779880756.1028967
16,SENT,28,1779880756.3902423
19,RECOVERED,29,1779880756.3907135
19,SENT,29,1779880756.6703439
27,RECOVERED,30,1779880756.6720212
27,SENT,30,1779880756.9942455
33,RECOVERED,31,1779880756.9955127
33,SENT,31,1779880757.3582711
15,RECOVERED,32,1779880757.3596172
15,SENT,32,1779880757.7262437
25,RECOVERED,33,1779880757.7264366
25,SENT,33,1779880758.0382476
18,RECOVERED,34,1779880758.0391147
18,SENT,34,1779880758.3382246
14,RECOVERED,35,1779880768.4837353
14,SENT,35,1779880768.7942357
12,RECOVERED,36,1779880768.794468
12,SENT,36,1779880769.1222374
21,RECOVERED,37,1779880769.1227577
21,SENT,37,1779880769.4782434
0,RECOVERED,38,1779880769.4792335
0,SENT,38,1779880769.8062248








1,21,RECOVERED,1,1780136017.6079097
1,11,RECOVERED,2,1780136018.690418
1,21,SENT,2,1780136020.5647364
1,11,SENT,2,1780136021.4047198
1,20,RECOVERED,3,1780136029.964229
1,20,SENT,3,1780136032.7967334
1,6,RECOVERED,4,1780136041.960207
1,18,RECOVERED,5,1780136043.0460634
1,5,RECOVERED,6,1780136043.0473466
1,0,RECOVERED,7,1780136043.0483904
1,37,RECOVERED,8,1780136043.0492568
